"","alue_numero","alue_nimi"
"1","1","Suuralue 1: Keskusta"
"2","101","VI ja VII"
"3","101001","Rauhankatu VII"
"4","101002","Ursininkatu pohj. "
"5","101003","Ursininkatu et."
"6","101004","Kristiinankatu et. "
"7","101005","Kristiinankatu pohj. "
"8","101006","Puolalanmäki VII"
"9","101007","Tuurepori VI"
"10","101008","Kauppatori VI"
"11","101009","Verkatehdas VI"
"12","102","I"
"13","102010","Yliopisto I"
"14","102011","Sirkkala I"
"15","103","II ja III"
"16","103012","Vartiovuori II"
"17","103013","Samppalinna III"
"18","103014","Urheilupuisto III"
"19","104","IV ja V"
"20","104015","Martti IV"
"21","104016","Itäranta"
"22","105","VIII ja IX"
"23","105017","Länsiranta"
"24","105018","Kakola"
"25","105019","Port Arthur"
"26","106","Iso-Heikkilä"
"27","106020","Iso-Heikkilä it."
"28","106021","Iso-Heikkilä länt."
"29","109","Kupittaa"
"30","109029","Kupittaa"
"31","110","Mäntymäki - Kurjenmäki "
"32","110030","Kurjenmäki it."
"33","110031","Kurjenmäki länt."
"34","110032","Mäntymäki"
"35","111","Vähäheikkilä"
"36","111033","Vähäheikkilä it."
"37","111034","Vähäheikkilä länt."
"38","112","Korppolainen länsi "
"39","112035","Korppolaismäki"
"40","112036","Majakkaranta"
"41","113","Satama"
"42","113037","Otkantti"
"43","113038","Rahtisatama"
"44","127","Vatsela"
"45","127022","Vatsela"
"46","142","Ruissalo"
"47","142128","Ruissalo"
"48","2","Suuralue 2: Hirvensalo - Kakskerta"
"49","214","Läntinen Hirvensalo "
"50","214040","Pikisaari"
"51","214041","Jänessaari"
"52","214042","Maanpää"
"53","215","Väli-Hirvensalo "
"54","215043","Lauttaranta "
"55","215044","Särkilahti "
"56","215045","Illoinen "
"57","215046","Oriniemi"
"58","216","Keski-Hirvensalo "
"59","216047","Toijainen "
"60","216048","Kukola"
"61","216049","Haarla"
"62","216050","Friskala"
"63","217","Itäinen Hirvensalo "
"64","217051","Moikoinen"
"65","217052","Kaistarniemi "
"66","217053","Papinsaari"
"67","218","Satava - Kakskerta "
"68","218054","Satava"
"69","218055","Kakskerta"
"70","3","Suuralue 3: Skanssi - Uittamo"
"71","311","Vähäheikkilä etelä "
"72","311058","Vähäheikkilä loun. "
"73","311059","Vähäheikkilä kaak. "
"74","312","Korppolainen itä "
"75","312057","Korppolainen"
"76","319","Itäinen Pitkäsalmi "
"77","319060","Pihlajaniemi "
"78","319061","Puistomäki "
"79","319062","Uittamo"
"80","319063","Ispoinen"
"81","319064","Katariina"
"82","320","Luolavuori - Ilpoinen - Peltola"
"83","320065","Ilpoinen"
"84","320066","Luolavuori länt."
"85","320067","Luolavuori it."
"86","320068","Peltola"
"87","321","Vasaramäki"
"88","321069","Vasaramäki"
"89","322","Koivula - Harittu"
"90","322070","Koivula"
"91","322071","Harittu"
"92","323","Skanssi"
"93","323072","Skanssi"
"94","4","Suuralue 4: Varissuo - Lauste"
"95","424","Pääskyvuori - Huhkola "
"96","424074","Huhkola"
"97","424075","Teoll. Lauste"
"98","424076","Pääskyvuori"
"99","425","Varissuo - Lauste "
"100","425077","Asuin-Lauste "
"101","425078","Vaala"
"102","425079","Varissuo"
"103","5","Suuralue 5: Nummi - Halinen"
"104","525","Huhtaraivio"
"105","525085","Huhtaraivio"
"106","526","Itäharju - Kurala - Nummenmäki "
"107","526080","Teoll. Itäharju"
"108","526081","Asuin-Itäharju"
"109","526082","Nummenmäki"
"110","526083","Kurala"
"111","526084","Kohmo"
"112","527","Kuuvuori - Ylioppilaskylä "
"113","527086","Paaskunta"
"114","527087","Kuuvuori"
"115","527088","Yo-kylä"
"116","528","Koroinen"
"117","528089","Koroinen"
"118","529","Räntämäki"
"119","529090","Asuin-Räntämäki"
"120","529091","Teoll. Räntämäki"
"121","530","Oriketo"
"122","530092","Oriketo"
"123","531","Halinen"
"124","531093","Halinen"
"125","535","Piipanoja"
"126","535104","Piipanoja"
"127","6","Suuralue 6: Runosmäki - Raunistula"
"128","608","Raunistula"
"129","608098","Raunistula et."
"130","632","Kastu"
"131","632094","Virusmäki - Raunistula"
"132","632095","Kastu et."
"133","632096","Kastu pohj."
"134","632097","Kaerla it."
"135","633","Impivaara"
"136","633099","Impivaara"
"137","634","Runosmäki"
"138","634100","Asuin-Runosmäki "
"139","634101","Teoll. Runosmäki"
"140","635","Kärsämäki - Piipanoja "
"141","635102","Kärsämäki et."
"142","635103","Orjasmäki"
"143","7","Suuralue 7: Länsikeskus"
"144","706","Vr"
"145","706023","Vr - Iso-Heikkilä"
"146","707","Ratapiha - Pohjola"
"147","707024","Teoll. Pitkämäki"
"148","707025","Kähäri et."
"149","707026","Pohjola"
"150","708","Pohjola itä"
"151","708027","Autistenaukio - Oikotie"
"152","708028","Vätti et."
"153","736","Rauman valtatie - Satakunnantie"
"154","736106","Kähäri pohj."
"155","736107","Asuin-Pitkämäki"
"156","736108","Suikkila"
"157","736109","Ruohonpää it."
"158","736110","Ruohonpää länt."
"159","736111","Pläkkikaupunki"
"160","737","Länsikeskus - Vätti"
"161","737112","Vätti pohj."
"162","737113","Hepokulta"
"163","737114","Länsikeskus"
"164","738","Kuninkoja"
"165","738116","Länsinummi"
"166","738117","Nättinummi"
"167","738118","Metsäkylä"
"168","739","Muhkuri"
"169","739119","Muhkuri"
"170","8","Suuralue 8: Pansio - Jyrkkälä"
"171","839","Raisionjoki"
"172","839120","Pahaniemi kaakko"
"173","839121","Härkämäki - Jyrkkälä"
"174","839122","Pahaniemi et."
"175","839123","Artukainen"
"176","840","Perno"
"177","840124","Asuin-Perno"
"178","840125","Telakka"
"179","841","Pansio"
"180","841126","Pansio länt."
"181","841127","Pansio it."
"182","9","Suuralue 9: Maaria - Paattinen"
"183","943","Etelä-Maaria"
"184","943129","Lentokenttä"
"185","943130","Saramäki - Paimala"
"186","943131","Maaria - Jäkärlä"
"187","944","Moisio - Yli-Maaria"
"188","944132","Moisio - Kanervamäki "
"189","945","Paattinen"
"190","945133","Etelä-Paattinen"
"191","945134","Ikkala - Tortinmäki"
